domain,representation,stage,n_adaptation_speakers,n_adaptation_samples,repeat,seed,adaptation_speakers,train_loss,run_id,target_balanced_accuracy,target_macro_f1_observed,target_accuracy,unsupported_prediction_rate,source_balanced_accuracy,target_gain,source_change
ravdess_song,egemaps,adapted,8,352,0,13,"[""ravdess_05"", ""ravdess_08"", ""ravdess_09"", ""ravdess_10"", ""ravdess_11"", ""ravdess_15"", ""ravdess_17"", ""ravdess_24""]",0.898735523223877,adapt::ravdess_song::egemaps::n8::r0::s13,0.4427083333333333,0.40871728719024586,0.4602272727272727,0.011363636363636364,0.54296875,0.09375,-0.01171875
ravdess_song,egemaps,adapted,8,352,0,42,"[""ravdess_05"", ""ravdess_08"", ""ravdess_09"", ""ravdess_10"", ""ravdess_11"", ""ravdess_15"", ""ravdess_17"", ""ravdess_24""]",0.898705395785245,adapt::ravdess_song::egemaps::n8::r0::s42,0.4322916666666667,0.3959248433672986,0.44886363636363635,0.011363636363636364,0.55078125,0.08333333333333337,-0.00390625
ravdess_song,egemaps,adapted,8,352,0,73,"[""ravdess_05"", ""ravdess_08"", ""ravdess_09"", ""ravdess_10"", ""ravdess_11"", ""ravdess_15"", ""ravdess_17"", ""ravdess_24""]",0.8985282968391072,adapt::ravdess_song::egemaps::n8::r0::s73,0.4375,0.4031588332099842,0.45454545454545453,0.011363636363636364,0.55078125,0.08854166666666669,-0.00390625
ravdess_song,egemaps,adapted,8,352,1,13,"[""ravdess_03"", ""ravdess_04"", ""ravdess_08"", ""ravdess_10"", ""ravdess_13"", ""ravdess_15"", ""ravdess_16"", ""ravdess_22""]",6.117568622935902,adapt::ravdess_song::egemaps::n8::r1::s13,0.4635416666666667,0.44049526434872993,0.4715909090909091,0.011363636363636364,0.53125,0.11458333333333337,-0.0234375
ravdess_song,egemaps,adapted,8,352,1,42,"[""ravdess_03"", ""ravdess_04"", ""ravdess_08"", ""ravdess_10"", ""ravdess_13"", ""ravdess_15"", ""ravdess_16"", ""ravdess_22""]",5.72702851078727,adapt::ravdess_song::egemaps::n8::r1::s42,0.4479166666666667,0.42114582397109196,0.45454545454545453,0.011363636363636364,0.51953125,0.09895833333333337,-0.03515625
ravdess_song,egemaps,adapted,8,352,1,73,"[""ravdess_03"", ""ravdess_04"", ""ravdess_08"", ""ravdess_10"", ""ravdess_13"", ""ravdess_15"", ""ravdess_16"", ""ravdess_22""]",5.9319633570584385,adapt::ravdess_song::egemaps::n8::r1::s73,0.4375,0.41097551880361327,0.44886363636363635,0.011363636363636364,0.51953125,0.08854166666666669,-0.03515625
ravdess_song,egemaps,adapted,8,352,2,13,"[""ravdess_05"", ""ravdess_09"", ""ravdess_10"", ""ravdess_11"", ""ravdess_12"", ""ravdess_19"", ""ravdess_20"", ""ravdess_24""]",0.8738883246075023,adapt::ravdess_song::egemaps::n8::r2::s13,0.4010416666666667,0.3729231255547045,0.4147727272727273,0.0,0.47265625,0.05208333333333337,-0.08203125
ravdess_song,egemaps,adapted,8,352,2,42,"[""ravdess_05"", ""ravdess_09"", ""ravdess_10"", ""ravdess_11"", ""ravdess_12"", ""ravdess_19"", ""ravdess_20"", ""ravdess_24""]",0.8762489882382479,adapt::ravdess_song::egemaps::n8::r2::s42,0.4114583333333333,0.38320998879200047,0.42045454545454547,0.0,0.4765625,0.0625,-0.078125
ravdess_song,egemaps,adapted,8,352,2,73,"[""ravdess_05"", ""ravdess_09"", ""ravdess_10"", ""ravdess_11"", ""ravdess_12"", ""ravdess_19"", ""ravdess_20"", ""ravdess_24""]",0.8703141700137745,adapt::ravdess_song::egemaps::n8::r2::s73,0.4010416666666667,0.3729231255547045,0.4147727272727273,0.0,0.46875,0.05208333333333337,-0.0859375
ravdess_song,egemaps,adapted,8,352,3,13,"[""ravdess_04"", ""ravdess_07"", ""ravdess_08"", ""ravdess_09"", ""ravdess_12"", ""ravdess_13"", ""ravdess_22"", ""ravdess_24""]",7.39279325983741,adapt::ravdess_song::egemaps::n8::r3::s13,0.4479166666666667,0.4141657376439985,0.4659090909090909,0.011363636363636364,0.484375,0.09895833333333337,-0.0703125
