representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,original_macro_f1,original_balanced_accuracy,original_uar,original_weighted_f1,original_accuracy,inner_best_balanced_accuracy,pca_n_components,pca_explained_variance,lda_n_components
egemaps,speaker_independent,emotion_original_eval_quadrant,mlp,none,4,88,88,960,240,0.489184399950318,0.5831131094597137,0.5859375,0.5859375,0.631207130972939,0.6333333333333333,0.4795959649779483,0.48046875,0.48046875,0.4949023626431448,0.5,,,,
wav2vec,speaker_independent,emotion_original,random_forest,none,0,768,768,960,240,0.7287329999962822,0.4436659065871835,0.4609375,0.4609375,0.4505485982320028,0.4583333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_original,random_forest,none,1,768,768,960,240,0.6979523000773042,0.3892543551534934,0.38671875,0.38671875,0.3895636198560339,0.3916666666666666,,,,,,,,,
wav2vec,speaker_independent,emotion_original,random_forest,none,2,768,768,960,240,0.6869307000888512,0.4577128243306008,0.484375,0.484375,0.4660047903970853,0.5,,,,,,,,,
wav2vec,speaker_independent,emotion_original,random_forest,none,3,768,768,960,240,0.6875432999804616,0.4548344914924322,0.46875,0.46875,0.4604654329005697,0.4791666666666667,,,,,,,,,
wav2vec,speaker_independent,emotion_original,random_forest,none,4,768,768,960,240,0.6811817999696359,0.4378685279438047,0.46484375,0.46484375,0.4554655602415076,0.4875,,,,,,,,,
wav2vec,speaker_independent,emotion_original,logistic_regression,none,0,768,768,960,240,0.1952856000280007,0.5786043144654414,0.5859375,0.5859375,0.5932463114981803,0.5958333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_original,logistic_regression,none,1,768,768,960,240,0.1957548999926075,0.4707743877986263,0.4765625,0.4765625,0.4629436607106916,0.4666666666666667,,,,,,,,,
wav2vec,speaker_independent,emotion_original,logistic_regression,none,2,768,768,960,240,0.2046510999789461,0.5952266695576012,0.6015625,0.6015625,0.6027245394821308,0.6125,,,,,,,,,
wav2vec,speaker_independent,emotion_original,logistic_regression,none,3,768,768,960,240,0.2127532000886276,0.5148952344127005,0.51953125,0.51953125,0.5262330776264207,0.5333333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_original,logistic_regression,none,4,768,768,960,240,0.2163030999945476,0.591474536700699,0.60546875,0.60546875,0.5984737400483132,0.6083333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_original,mlp,none,0,768,768,960,240,1.435990000027232,0.5413005429506247,0.54296875,0.54296875,0.5519904204171743,0.5458333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_original,mlp,none,1,768,768,960,240,1.805472500040196,0.4722142613038796,0.47265625,0.47265625,0.4732190215812811,0.4708333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_original,mlp,none,2,768,768,960,240,2.195955500006676,0.5434332706415528,0.546875,0.546875,0.5450942541164217,0.5541666666666667,,,,,,,,,
wav2vec,speaker_independent,emotion_original,mlp,none,3,768,768,960,240,1.0132978000910953,0.5201763672010987,0.5234375,0.5234375,0.5374634873333459,0.5458333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_original,mlp,none,4,768,768,960,240,1.341933500021696,0.5045933120153653,0.52734375,0.52734375,0.5160106439275007,0.5416666666666666,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,random_forest,none,0,768,768,960,240,0.6888704000739381,0.5637087426739328,0.6002604166666667,0.6002604166666667,0.6444568038561366,0.6833333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,random_forest,none,1,768,768,960,240,0.728274599998258,0.4702923542581888,0.48828125,0.48828125,0.5210420601981609,0.55,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,random_forest,none,2,768,768,960,240,0.7072865000227466,0.4579542820456009,0.46875,0.46875,0.523570926982553,0.5666666666666667,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,random_forest,none,3,768,768,960,240,0.7419853999745101,0.5082993792774153,0.5390625,0.5390625,0.5887870974587511,0.6458333333333334,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,random_forest,none,4,768,768,960,240,0.7074947999790311,0.4717947571154631,0.51953125,0.51953125,0.5480585822557411,0.6083333333333333,,,,,,,,,
