representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,seed,result_type,trainable_params,best_epoch,seed_macro_f1_std,layer_strategy,pooling
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,2,9984,1536,,,51.14067500003148,0.6867441097346338,0.69140625,0.69140625,0.6949202127767717,0.6916666666666667,13,seed,64649.0,7.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,2,9984,1536,,,153.46270030003507,0.6905016620254172,0.6953125,0.6953125,0.6989282685536072,0.6958333333333333,42,seed,64649.0,21.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,2,9984,1536,,,59.87466630002018,0.6596195027676991,0.66796875,0.66796875,0.6696072081809705,0.6583333333333333,73,seed,64649.0,8.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,2,9984,1536,,,,0.7423217912166665,0.74609375,0.74609375,0.75078426960547,0.7458333333333333,-1,ensemble,64649.0,,0.013758113819156233,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,3,9984,1536,,,102.0352014999371,0.6338969041600184,0.640625,0.640625,0.6587653934228601,0.6708333333333333,13,seed,64649.0,14.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,3,9984,1536,,,116.48696140001994,0.6405249782307834,0.6484375,0.6484375,0.6359148154891796,0.6458333333333334,42,seed,64649.0,16.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,3,9984,1536,,,57.960674999980256,0.6474231503578511,0.6484375,0.6484375,0.6572513603817078,0.6583333333333333,73,seed,64649.0,8.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,3,9984,1536,,,,0.7172476370199858,0.71875,0.71875,0.7222070032975088,0.7291666666666666,-1,ensemble,64649.0,,0.0055224338513878025,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,4,9984,1536,,,139.64152270008344,0.7764311891709161,0.78515625,0.78515625,0.7815266017823106,0.7791666666666667,13,seed,64649.0,19.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,4,9984,1536,,,59.71311729995068,0.5680585839248401,0.5859375,0.5859375,0.5734967237540637,0.5875,42,seed,64649.0,8.0,,uniform,attentive_mean_std
