protocol,target,pooling,fold,seed,layer,weight
speaker_independent,emotion_original,mean,3,73,10,0.06798925995826721
speaker_independent,emotion_original,mean,3,73,11,0.06230136752128601
speaker_independent,emotion_original,mean,3,73,12,0.06877489387989044
speaker_independent,emotion_original,mean,4,13,0,0.06915761530399323
speaker_independent,emotion_original,mean,4,13,1,0.06137095391750336
speaker_independent,emotion_original,mean,4,13,2,0.08125679939985275
speaker_independent,emotion_original,mean,4,13,3,0.09009012579917908
speaker_independent,emotion_original,mean,4,13,4,0.09784237295389175
speaker_independent,emotion_original,mean,4,13,5,0.08869694173336029
speaker_independent,emotion_original,mean,4,13,6,0.08740977942943573
speaker_independent,emotion_original,mean,4,13,7,0.07728223502635956
speaker_independent,emotion_original,mean,4,13,8,0.09098989516496658
speaker_independent,emotion_original,mean,4,13,9,0.06522604078054428
speaker_independent,emotion_original,mean,4,13,10,0.06275907903909683
speaker_independent,emotion_original,mean,4,13,11,0.06426113843917847
speaker_independent,emotion_original,mean,4,13,12,0.0636569932103157
speaker_independent,emotion_original,mean,4,42,0,0.07006914913654327
speaker_independent,emotion_original,mean,4,42,1,0.06846421957015991
speaker_independent,emotion_original,mean,4,42,2,0.0774216428399086
speaker_independent,emotion_original,mean,4,42,3,0.08767919987440109
speaker_independent,emotion_original,mean,4,42,4,0.09515948593616486
speaker_independent,emotion_original,mean,4,42,5,0.09401020407676697
speaker_independent,emotion_original,mean,4,42,6,0.08549988269805908
speaker_independent,emotion_original,mean,4,42,7,0.07696018368005753
speaker_independent,emotion_original,mean,4,42,8,0.08038657903671265
speaker_independent,emotion_original,mean,4,42,9,0.06631984561681747
speaker_independent,emotion_original,mean,4,42,10,0.06482497602701187
speaker_independent,emotion_original,mean,4,42,11,0.0698428601026535
speaker_independent,emotion_original,mean,4,42,12,0.06336183100938797
speaker_independent,emotion_original,mean,4,73,0,0.07841013371944427
speaker_independent,emotion_original,mean,4,73,1,0.0649632140994072
speaker_independent,emotion_original,mean,4,73,2,0.08104478567838669
speaker_independent,emotion_original,mean,4,73,3,0.0898275226354599
speaker_independent,emotion_original,mean,4,73,4,0.09281002730131149
speaker_independent,emotion_original,mean,4,73,5,0.08962351828813553
speaker_independent,emotion_original,mean,4,73,6,0.0770498663187027
speaker_independent,emotion_original,mean,4,73,7,0.08050063997507095
speaker_independent,emotion_original,mean,4,73,8,0.09167630970478058
speaker_independent,emotion_original,mean,4,73,9,0.06352901458740234
speaker_independent,emotion_original,mean,4,73,10,0.06480477005243301
speaker_independent,emotion_original,mean,4,73,11,0.06323814392089844
speaker_independent,emotion_original,mean,4,73,12,0.06252214312553406
speaker_independent,emotion_quadrant,mean,0,13,0,0.07566288858652115
speaker_independent,emotion_quadrant,mean,0,13,1,0.07882694900035858
speaker_independent,emotion_quadrant,mean,0,13,2,0.08698905259370804
speaker_independent,emotion_quadrant,mean,0,13,3,0.07364962249994278
speaker_independent,emotion_quadrant,mean,0,13,4,0.0776127353310585
speaker_independent,emotion_quadrant,mean,0,13,5,0.08284389227628708
speaker_independent,emotion_quadrant,mean,0,13,6,0.08574682474136353
speaker_independent,emotion_quadrant,mean,0,13,7,0.08368673175573349
speaker_independent,emotion_quadrant,mean,0,13,8,0.08407213538885117
speaker_independent,emotion_quadrant,mean,0,13,9,0.07066130638122559
speaker_independent,emotion_quadrant,mean,0,13,10,0.06687760353088379
speaker_independent,emotion_quadrant,mean,0,13,11,0.06464448571205139
speaker_independent,emotion_quadrant,mean,0,13,12,0.0687258392572403
speaker_independent,emotion_quadrant,mean,0,42,0,0.07735875993967056
speaker_independent,emotion_quadrant,mean,0,42,1,0.07396627962589264
speaker_independent,emotion_quadrant,mean,0,42,2,0.1019308865070343
speaker_independent,emotion_quadrant,mean,0,42,3,0.07239385694265366
speaker_independent,emotion_quadrant,mean,0,42,4,0.08701058477163315
speaker_independent,emotion_quadrant,mean,0,42,5,0.08424389362335205
speaker_independent,emotion_quadrant,mean,0,42,6,0.08526749163866043
speaker_independent,emotion_quadrant,mean,0,42,7,0.0817488580942154
speaker_independent,emotion_quadrant,mean,0,42,8,0.09043734520673752
speaker_independent,emotion_quadrant,mean,0,42,9,0.06790610402822495
speaker_independent,emotion_quadrant,mean,0,42,10,0.05967037007212639
speaker_independent,emotion_quadrant,mean,0,42,11,0.053271856158971786
speaker_independent,emotion_quadrant,mean,0,42,12,0.06479369103908539
speaker_independent,emotion_quadrant,mean,0,73,0,0.07564805448055267
speaker_independent,emotion_quadrant,mean,0,73,1,0.07758301496505737
speaker_independent,emotion_quadrant,mean,0,73,2,0.09628655761480331
speaker_independent,emotion_quadrant,mean,0,73,3,0.07420225441455841
speaker_independent,emotion_quadrant,mean,0,73,4,0.08482099324464798
speaker_independent,emotion_quadrant,mean,0,73,5,0.08679350465536118
speaker_independent,emotion_quadrant,mean,0,73,6,0.08675903081893921
speaker_independent,emotion_quadrant,mean,0,73,7,0.0827811062335968
speaker_independent,emotion_quadrant,mean,0,73,8,0.08346505463123322
speaker_independent,emotion_quadrant,mean,0,73,9,0.06571157276630402
speaker_independent,emotion_quadrant,mean,0,73,10,0.060072243213653564
speaker_independent,emotion_quadrant,mean,0,73,11,0.05798384174704552
speaker_independent,emotion_quadrant,mean,0,73,12,0.06789274513721466
speaker_independent,emotion_quadrant,mean,1,13,0,0.07336530834436417
speaker_independent,emotion_quadrant,mean,1,13,1,0.0741344764828682
speaker_independent,emotion_quadrant,mean,1,13,2,0.07670596987009048
speaker_independent,emotion_quadrant,mean,1,13,3,0.07736973464488983
speaker_independent,emotion_quadrant,mean,1,13,4,0.07950779050588608
speaker_independent,emotion_quadrant,mean,1,13,5,0.07994203269481659
speaker_independent,emotion_quadrant,mean,1,13,6,0.08254323154687881
speaker_independent,emotion_quadrant,mean,1,13,7,0.08220655471086502
speaker_independent,emotion_quadrant,mean,1,13,8,0.07990241050720215
speaker_independent,emotion_quadrant,mean,1,13,9,0.07494453340768814
speaker_independent,emotion_quadrant,mean,1,13,10,0.07408615946769714
speaker_independent,emotion_quadrant,mean,1,13,11,0.07235883921384811
speaker_independent,emotion_quadrant,mean,1,13,12,0.07293291389942169
speaker_independent,emotion_quadrant,mean,1,42,0,0.07487143576145172
speaker_independent,emotion_quadrant,mean,1,42,1,0.07647480070590973
speaker_independent,emotion_quadrant,mean,1,42,2,0.07906601577997208
speaker_independent,emotion_quadrant,mean,1,42,3,0.07698206603527069
speaker_independent,emotion_quadrant,mean,1,42,4,0.08195717632770538
speaker_independent,emotion_quadrant,mean,1,42,5,0.08161310106515884
speaker_independent,emotion_quadrant,mean,1,42,6,0.08106859028339386
speaker_independent,emotion_quadrant,mean,1,42,7,0.07473160326480865
speaker_independent,emotion_quadrant,mean,1,42,8,0.0813346579670906
speaker_independent,emotion_quadrant,mean,1,42,9,0.07636658102273941
speaker_independent,emotion_quadrant,mean,1,42,10,0.07073573023080826
speaker_independent,emotion_quadrant,mean,1,42,11,0.07260742038488388
