file_id,configuration,protocol,target,fold,seed,attention_entropy,attention_entropy_normalized,max_attention,frames_for_50pct_mass,frames_fraction_50pct_mass,n_frames
03-01-07-02-02-02-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,1.9678723587385705,0.4362521944865675,0.31303559433189676,2,0.02197802197802198,91
03-01-07-02-02-02-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.229889155705754,0.4791379788249117,0.4097282843872129,2,0.01904761904761905,105
03-01-08-01-01-01-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.512266539942731,0.5640032922569296,0.19642244302445472,4,0.046511627906976744,86
03-01-08-01-01-01-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,3.582761540112864,0.7578734128668857,0.10284030734706773,8,0.07079646017699115,113
03-01-08-01-01-01-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,1.912875795433921,0.4272351790127385,0.33072819917128055,2,0.022727272727272728,88
03-01-08-01-01-01-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,1.8497279407564005,0.4025418272174604,0.2916505394676381,3,0.030303030303030304,99
03-01-08-01-01-02-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.654721033328794,0.6075644161378237,0.1914135223251052,3,0.0379746835443038,79
03-01-08-01-01-02-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.8816149554915085,0.645247255189754,0.21533634329494442,3,0.034482758620689655,87
03-01-08-01-01-02-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.2541981525997974,0.5174084939508411,0.3463707843528251,2,0.02564102564102564,78
03-01-08-01-01-02-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,1.8007512083019135,0.39543256244439395,0.24017308214310726,3,0.031578947368421054,95
03-01-08-01-02-01-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.2381105406437016,0.49261838553329707,0.25198921787507655,3,0.031914893617021274,94
03-01-08-01-02-01-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,3.0341135602731586,0.6223570779040589,0.22608878003447033,4,0.030534351145038167,131
03-01-08-01-02-01-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,1.7266468259958567,0.39749635591619664,0.33303319409715465,2,0.025974025974025976,77
03-01-08-01-02-02-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.5723161487768316,0.5837258977580108,0.21678167223400935,3,0.036585365853658534,82
03-01-08-01-02-02-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.350568026265612,0.5198314751371267,0.3246248900216378,2,0.021739130434782608,92
03-01-08-01-02-02-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,1.9628884855400939,0.4454308013288298,0.20184930322037625,3,0.036585365853658534,82
03-01-08-02-01-01-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.4283438121547705,0.5284614746411119,0.18589664756446098,4,0.04040404040404041,99
03-01-08-02-01-01-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.312386896749146,0.5233017214219433,0.32203182775438505,2,0.024096385542168676,83
03-01-08-02-01-01-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,1.6125320776823653,0.363935624263076,0.3453083658786318,2,0.023809523809523808,84
03-01-08-02-01-01-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.102534204387231,0.4431115445928399,0.2726602450199271,3,0.02608695652173913,115
03-01-08-02-01-02-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,1.9553789300625328,0.43140342159421796,0.3964169267795188,2,0.021505376344086023,93
03-01-08-02-01-02-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,3.206666849561277,0.666364090141578,0.1458007755630347,6,0.04878048780487805,123
03-01-08-02-01-02-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.3970444559338255,0.5409938087622097,0.2945981188980996,3,0.03571428571428571,84
03-01-08-02-01-02-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,1.9905103179180132,0.43223382362164026,0.21290839291206448,3,0.03,100
03-01-08-02-02-01-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,1.251041914694194,0.2794165296317989,0.7372537901703713,1,0.011363636363636364,88
03-01-08-02-02-01-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.612159379415866,0.5864292130101573,0.29969412035999354,3,0.03488372093023256,86
03-01-08-02-02-02-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,1.5307070699880145,0.3369156401564626,0.38989179804005214,2,0.02127659574468085,94
03-01-08-02-02-02-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,73,2.6106478856883095,0.589202398611884,0.24171909482932785,3,0.03571428571428571,84
